,survived,pclass,sex,age,fare,embarked,deck,embark_town,alive,alone
0,1,3,female,23.0,7.55,S,C,Southampton,yes,True
1,0,3,male,51.0,7.75,S,C,Southampton,no,True
2,1,3,male,26.0,18.7875,C,C,Cherbourg,yes,True
3,1,3,female,27.0,7.925,S,C,Southampton,yes,True
4,0,3,male,27.0,14.4542,C,C,Cherbourg,no,False
5,0,3,male,40.0,7.225,C,C,Cherbourg,no,True
6,0,3,male,17.0,7.125,S,C,Southampton,no,True
7,0,3,female,18.0,6.75,Q,C,Queenstown,no,True
8,0,3,male,18.0,7.7958,S,C,Southampton,no,True
9,0,3,male,32.0,7.925,S,C,Southampton,no,True
10,0,3,male,21.0,7.8,S,C,Southampton,no,True
11,0,3,male,20.0,4.0125,C,C,Cherbourg,no,True
12,0,3,male,20.0,7.05,S,C,Southampton,no,True
13,0,3,female,25.0,7.925,S,C,Southampton,no,False
14,0,3,male,28.0,7.75,Q,F,Queenstown,no,True
15,0,3,male,38.0,7.05,S,C,Southampton,no,True
16,0,3,female,22.0,9.8375,S,C,Southampton,no,True
17,1,3,female,28.0,7.8792,Q,C,Queenstown,yes,True
18,0,3,male,20.0,7.925,S,C,Southampton,no,True
19,0,3,male,28.0,7.8958,S,C,Southampton,no,True
20,1,3,female,28.0,7.75,Q,C,Queenstown,yes,True
21,0,3,male,29.0,8.05,S,C,Southampton,no,True
22,0,3,female,45.0,27.9,S,C,Southampton,no,False
23,1,3,female,23.0,7.55,S,C,Southampton,yes,True
24,1,3,female,22.0,7.25,S,C,Southampton,yes,True
25,1,3,female,38.0,31.3875,S,C,Southampton,yes,False
26,0,3,male,26.0,7.775,S,C,Southampton,no,True
27,0,3,male,34.0,6.4958,S,C,Southampton,no,True
28,1,3,female,28.0,7.8792,Q,C,Queenstown,yes,True
29,0,3,male,36.0,24.15,S,C,Southampton,no,False
30,0,3,male,28.0,6.8583,Q,C,Queenstown,no,True
31,0,3,male,23.0,9.225,S,C,Southampton,no,True
32,0,3,female,11.0,31.275,S,C,Southampton,no,False
33,1,3,female,28.0,15.5,Q,C,Queenstown,yes,False
34,0,3,female,29.0,21.075,S,C,Southampton,no,False
35,0,3,male,42.0,7.65,S,F,Southampton,no,True
36,0,3,female,28.0,25.4667,S,C,Southampton,no,False
37,1,3,female,24.0,16.7,S,G,Southampton,yes,False
38,0,3,male,28.5,7.2292,C,C,Cherbourg,no,True
39,0,3,male,28.0,7.8958,S,C,Southampton,no,True
40,0,3,male,16.0,20.25,S,C,Southampton,no,False
41,0,3,male,36.0,24.15,S,C,Southampton,no,False
42,0,3,male,25.0,7.7417,Q,C,Queenstown,no,True
43,0,3,male,32.0,7.925,S,C,Southampton,no,True
44,0,3,female,25.0,7.925,S,C,Southampton,no,False
45,0,3,male,21.0,8.4333,S,C,Southampton,no,True
46,0,3,male,17.0,7.2292,C,C,Cherbourg,no,False
47,1,3,female,29.0,15.2458,C,C,Cherbourg,yes,False
48,0,3,male,19.0,7.775,S,C,Southampton,no,True
49,0,3,male,33.0,9.5,S,C,Southampton,no,True
50,1,3,female,28.0,7.8792,Q,C,Queenstown,yes,True
51,1,3,male,20.0,15.7417,C,C,Cherbourg,yes,False
52,0,3,male,17.0,8.6625,S,C,Southampton,no,True
53,0,3,male,16.0,18.0,S,C,Southampton,no,False
54,0,3,male,39.0,7.925,S,C,Southampton,no,True
55,1,3,female,1.0,11.1333,S,C,Southampton,yes,False
56,0,3,male,4.0,31.275,S,C,Southampton,no,False
57,0,3,male,28.0,7.75,Q,C,Queenstown,no,True
58,1,3,female,28.0,7.8792,Q,C,Queenstown,yes,True
59,1,3,female,31.0,20.525,S,C,Southampton,yes,False
60,0,3,female,40.0,9.475,S,C,Southampton,no,False
61,0,3,female,28.0,69.55,S,C,Southampton,no,False
62,1,3,male,18.0,8.05,S,C,Southampton,yes,True
63,1,3,female,15.0,7.225,C,C,Cherbourg,yes,True
64,0,3,female,28.0,23.45,S,C,Southampton,no,False
65,0,3,female,37.0,9.5875,S,C,Southampton,no,True
66,1,3,male,3.0,31.3875,S,C,Southampton,yes,False
67,0,3,male,28.0,21.6792,C,C,Cherbourg,no,False
68,0,3,male,29.0,7.875,S,C,Southampton,no,True
69,1,3,female,38.0,31.3875,S,C,Southampton,yes,False
70,0,3,male,30.0,7.225,C,C,Cherbourg,no,True
71,0,3,female,25.0,7.775,S,C,Southampton,no,True
72,0,3,male,26.0,7.8542,S,C,Southampton,no,False
73,0,3,male,28.0,7.775,S,C,Southampton,no,True
74,0,3,male,7.0,29.125,Q,C,Queenstown,no,False
75,0,3,male,30.0,16.1,S,C,Southampton,no,False
76,0,3,male,28.0,7.225,C,C,Cherbourg,no,True
77,0,3,male,40.5,7.75,Q,C,Queenstown,no,True
78,0,3,male,40.0,7.225,C,C,Cherbourg,no,True
79,1,3,female,31.0,8.6833,S,C,Southampton,yes,True
80,0,3,male,16.0,39.6875,S,C,Southampton,no,False
81,0,3,male,35.0,8.05,S,C,Southampton,no,True
82,1,3,female,1.0,15.7417,C,C,Cherbourg,yes,False
83,0,3,male,28.0,7.7292,Q,C,Queenstown,no,True
84,0,3,male,28.0,7.925,S,C,Southampton,no,False
85,0,3,male,34.0,8.05,S,C,Southampton,no,True
86,0,3,female,20.0,8.6625,S,C,Southampton,no,True
87,1,3,male,20.0,7.925,S,C,Southampton,yes,False
88,0,3,male,17.0,8.6625,S,C,Southampton,no,True
89,1,3,female,21.0,7.65,S,C,Southampton,yes,True
90,0,3,male,28.0,15.5,Q,C,Queenstown,no,True
91,0,3,female,28.0,23.45,S,C,Southampton,no,False
92,0,3,female,28.0,7.55,S,C,Southampton,no,True
93,0,3,female,25.0,7.775,S,C,Southampton,no,True
94,0,3,male,20.0,9.8458,S,C,Southampton,no,True
95,0,3,male,28.0,69.55,S,C,Southampton,no,False
96,0,3,male,28.0,24.15,Q,C,Queenstown,no,False
97,0,3,male,30.0,7.225,C,C,Cherbourg,no,True
98,1,3,female,23.0,7.55,S,C,Southampton,yes,True
99,0,3,female,39.0,29.125,Q,C,Queenstown,no,False
100,0,3,female,28.0,23.45,S,C,Southampton,no,False
101,0,3,female,28.0,23.45,S,C,Southampton,no,False
102,0,3,male,28.0,7.8958,S,C,Southampton,no,True
103,0,3,male,28.0,23.45,S,C,Southampton,no,False
104,0,3,female,22.0,10.5167,S,C,Southampton,no,True
105,0,3,female,6.0,31.275,S,C,Southampton,no,False
106,0,3,male,28.0,14.4583,C,C,Cherbourg,no,True
107,0,3,male,39.0,7.925,S,C,Southampton,no,True
108,0,3,male,9.0,31.3875,S,C,Southampton,no,False
109,0,3,male,22.0,8.05,S,C,Southampton,no,True
110,0,3,female,18.0,6.75,Q,C,Queenstown,no,True
111,0,3,female,17.0,14.4583,C,C,Cherbourg,no,True
112,0,3,female,9.0,15.2458,C,C,Cherbourg,no,False
113,0,3,female,45.0,27.9,S,C,Southampton,no,False
114,0,3,male,28.0,7.75,Q,C,Queenstown,no,True
115,0,3,male,28.0,7.8958,S,C,Southampton,no,True
116,1,3,female,33.0,15.85,S,C,Southampton,yes,False
117,0,3,male,28.0,8.05,S,C,Southampton,no,True
118,1,3,male,29.0,7.8958,C,C,Cherbourg,yes,True
119,1,3,female,22.0,7.25,S,C,Southampton,yes,True
120,0,3,male,28.0,15.5,Q,C,Queenstown,no,True
121,0,3,male,28.0,7.8958,S,C,Southampton,no,True
122,1,3,female,28.0,7.8792,Q,C,Queenstown,yes,True
123,0,3,male,28.0,7.8958,S,C,Southampton,no,True
124,1,3,male,32.0,56.4958,S,C,Southampton,yes,True
125,0,3,female,21.0,7.75,Q,C,Queenstown,no,True
126,0,3,male,28.5,16.1,S,C,Southampton,no,True
127,1,3,female,28.0,22.3583,C,C,Cherbourg,yes,False
128,0,3,female,28.0,7.8958,S,C,Southampton,no,True
129,0,3,female,30.0,8.6625,S,C,Southampton,no,True
130,1,3,female,24.0,15.85,S,C,Southampton,yes,False
131,0,3,female,2.0,10.4625,S,G,Southampton,no,False
132,0,3,female,20.0,8.6625,S,C,Southampton,no,True
133,0,3,female,28.0,25.4667,S,C,Southampton,no,False
134,1,3,female,4.0,13.4167,C,C,Cherbourg,yes,False
135,1,3,female,28.0,15.5,Q,C,Queenstown,yes,False
136,0,3,male,28.0,8.05,S,C,Southampton,no,True
137,0,3,male,25.0,17.8,S,C,Southampton,no,False
138,0,3,female,30.0,8.6625,S,C,Southampton,no,True
139,0,3,female,23.0,7.925,S,C,Southampton,no,True
140,0,3,male,44.0,16.1,S,C,Southampton,no,False
141,0,3,male,39.0,31.275,S,C,Southampton,no,False
142,0,3,male,28.0,7.775,S,C,Southampton,no,True
143,1,3,female,1.0,11.1333,S,C,Southampton,yes,False
144,1,3,male,32.0,56.4958,S,C,Southampton,yes,True
145,0,3,male,25.0,7.05,S,C,Southampton,no,True
146,1,3,female,24.0,19.2583,C,C,Cherbourg,yes,False
147,0,3,female,22.0,10.5167,S,C,Southampton,no,True
148,0,3,male,29.0,8.05,S,C,Southampton,no,True
149,0,3,male,28.0,15.5,Q,C,Queenstown,no,False
150,0,3,male,28.5,7.2292,C,C,Cherbourg,no,True
151,0,3,male,22.0,8.05,S,C,Southampton,no,True
152,0,3,female,11.0,31.275,S,C,Southampton,no,False
153,0,3,male,33.0,20.525,S,C,Southampton,no,False
154,0,3,male,28.0,7.75,Q,C,Queenstown,no,True
155,1,3,female,28.0,7.75,Q,C,Queenstown,yes,True
156,0,3,female,21.0,34.375,S,C,Southampton,no,False
157,1,3,male,28.0,8.1125,S,C,Southampton,yes,True
158,0,3,male,20.0,7.05,S,C,Southampton,no,True
159,0,3,female,39.0,29.125,Q,C,Queenstown,no,False
160,0,3,male,28.0,7.75,Q,C,Queenstown,no,True
161,1,3,female,24.0,19.2583,C,C,Cherbourg,yes,False
162,0,3,male,28.0,56.4958,S,C,Southampton,no,True
163,0,3,male,28.0,69.55,S,C,Southampton,no,False
164,0,3,male,36.0,0.0,S,C,Southampton,no,True
165,0,3,male,24.0,7.05,S,C,Southampton,no,True
166,0,3,male,19.0,0.0,S,C,Southampton,no,True
167,0,3,male,22.0,7.25,S,C,Southampton,no,True
168,0,3,male,28.0,7.775,S,C,Southampton,no,True
169,0,3,female,2.0,31.275,S,C,Southampton,no,False
170,0,3,male,28.0,8.05,S,C,Southampton,no,True
171,0,3,male,32.0,8.3625,S,C,Southampton,no,True
172,0,3,female,28.0,25.4667,S,C,Southampton,no,False
173,1,3,female,35.0,20.25,S,C,Southampton,yes,False
174,0,3,female,25.0,7.925,S,C,Southampton,no,False
175,0,3,male,39.0,31.275,S,C,Southampton,no,False
176,0,3,male,28.0,7.8958,S,C,Southampton,no,True
177,1,3,male,32.0,7.8542,S,C,Southampton,yes,True
178,0,3,male,19.0,0.0,S,C,Southampton,no,True
179,1,3,female,28.0,7.8792,Q,C,Queenstown,yes,True
180,1,3,female,28.0,7.75,Q,C,Queenstown,yes,True
181,0,3,male,30.0,7.225,C,C,Cherbourg,no,True
182,1,3,female,28.0,7.75,Q,C,Queenstown,yes,True
183,0,3,male,28.0,7.225,C,C,Cherbourg,no,True
184,0,3,male,28.0,24.15,Q,C,Queenstown,no,True
185,0,3,male,19.0,7.775,S,C,Southampton,no,True
186,0,3,male,28.0,7.8958,C,C,Cherbourg,no,True
187,1,3,female,28.0,7.7333,Q,C,Queenstown,yes,True
188,1,3,female,28.0,16.1,S,C,Southampton,yes,False
189,0,3,male,28.0,25.4667,S,C,Southampton,no,False
190,0,3,male,39.0,24.15,S,C,Southampton,no,True
191,0,3,male,22.0,7.25,S,C,Southampton,no,True
192,1,3,female,4.0,13.4167,C,C,Cherbourg,yes,False
193,0,3,male,19.0,8.05,S,C,Southampton,no,True
194,1,3,female,28.0,7.2292,C,C,Cherbourg,yes,True
195,0,3,female,28.0,25.4667,S,C,Southampton,no,False
196,1,3,female,0.75,19.2583,C,C,Cherbourg,yes,False
197,0,3,female,17.0,14.4583,C,C,Cherbourg,no,True
198,1,3,female,30.0,12.475,S,C,Southampton,yes,True
199,0,3,male,44.0,16.1,S,C,Southampton,no,False
200,1,1,female,39.0,83.1583,C,E,Cherbourg,yes,False
201,1,1,female,35.0,90.0,S,C,Southampton,yes,False
202,1,1,male,23.0,63.3583,C,D,Cherbourg,yes,False
203,1,1,female,17.0,57.0,S,B,Southampton,yes,False
204,1,1,male,32.0,30.5,C,B,Cherbourg,yes,True
205,1,1,female,38.0,71.2833,C,C,Cherbourg,yes,False
206,1,1,female,21.0,77.9583,S,D,Southampton,yes,True
207,1,1,female,28.0,51.8625,S,D,Southampton,yes,False
208,1,1,female,35.0,135.6333,S,C,Southampton,yes,True
209,1,1,female,28.0,89.1042,C,C,Cherbourg,yes,False
210,1,1,female,33.0,86.5,S,B,Southampton,yes,True
211,0,1,male,24.0,247.5208,C,B,Cherbourg,no,False
212,1,1,female,33.0,53.1,S,E,Southampton,yes,False
213,0,1,male,30.0,27.75,C,C,Cherbourg,no,True
214,1,1,female,35.0,52.0,S,C,Southampton,yes,False
215,1,1,female,28.0,89.1042,C,C,Cherbourg,yes,False
216,0,1,male,45.5,28.5,S,C,Southampton,no,True
217,1,1,female,19.0,26.2833,S,D,Southampton,yes,False
218,1,1,female,28.0,153.4625,S,C,Southampton,yes,False
219,0,1,male,45.5,28.5,S,C,Southampton,no,True
220,0,1,male,28.0,30.5,S,C,Southampton,no,True
221,1,1,female,35.0,135.6333,S,C,Southampton,yes,True
222,0,1,male,37.0,29.7,C,C,Cherbourg,no,False
223,1,1,female,44.0,57.9792,C,B,Cherbourg,yes,False
224,0,1,male,28.0,49.5042,C,C,Cherbourg,no,True
225,0,1,male,18.0,108.9,C,C,Cherbourg,no,False
226,0,1,male,28.0,26.55,S,C,Southampton,no,True
227,1,1,male,27.0,30.5,S,C,Southampton,yes,True
228,0,1,female,2.0,151.55,S,C,Southampton,no,False
229,1,1,female,45.0,164.8667,S,C,Southampton,yes,False
230,1,1,female,31.0,164.8667,S,C,Southampton,yes,False
231,1,1,female,50.0,247.5208,C,B,Cherbourg,yes,False
232,1,1,female,35.0,135.6333,S,C,Southampton,yes,True
233,1,1,male,0.92,151.55,S,C,Southampton,yes,False
234,0,1,male,28.0,26.55,S,C,Southampton,no,True
235,0,1,male,50.0,55.9,S,E,Southampton,no,False
236,1,1,female,30.0,106.425,C,C,Cherbourg,yes,True
237,0,1,male,54.0,77.2875,S,D,Southampton,no,False
238,1,1,male,51.0,26.55,S,E,Southampton,yes,True
239,1,1,female,26.0,78.85,S,C,Southampton,yes,True
240,1,1,female,39.0,83.1583,C,E,Cherbourg,yes,False
241,0,1,female,2.0,151.55,S,C,Southampton,no,False
242,1,1,female,16.0,39.4,S,D,Southampton,yes,False
243,1,1,female,52.0,93.5,S,B,Southampton,yes,False
244,1,1,female,28.0,75.25,C,D,Cherbourg,yes,False
245,1,1,female,36.0,135.6333,C,C,Cherbourg,yes,True
246,1,1,female,44.0,27.7208,C,B,Cherbourg,yes,True
247,1,1,female,28.0,146.5208,C,B,Cherbourg,yes,True
248,1,1,female,19.0,26.2833,S,D,Southampton,yes,False
249,1,1,female,16.0,39.4,S,D,Southampton,yes,False
250,0,1,male,28.0,27.7208,C,C,Cherbourg,no,True
251,1,1,female,36.0,120.0,S,B,Southampton,yes,False
252,1,1,female,28.0,153.4625,S,C,Southampton,yes,False
253,1,1,female,28.0,83.1583,C,C,Cherbourg,yes,False
254,1,1,female,52.0,93.5,S,B,Southampton,yes,False
255,1,1,male,49.0,89.1042,C,C,Cherbourg,yes,False
256,1,1,female,28.0,26.55,S,C,Southampton,yes,True
257,1,1,female,39.0,110.8833,C,C,Cherbourg,yes,False
258,1,1,female,35.0,52.0,S,C,Southampton,yes,False
259,1,1,female,22.0,55.0,S,E,Southampton,yes,False
260,0,1,female,50.0,28.7125,C,C,Cherbourg,no,True
261,1,1,male,49.0,89.1042,C,C,Cherbourg,yes,False
262,0,1,male,28.0,26.55,S,C,Southampton,no,True
263,1,1,female,28.0,75.25,C,D,Cherbourg,yes,False
264,1,1,female,39.0,79.65,S,E,Southampton,yes,False
265,1,1,female,28.0,89.1042,C,C,Cherbourg,yes,False
266,0,1,male,28.0,32.3208,S,D,Southampton,no,True
267,1,1,male,28.0,35.5,S,C,Southampton,yes,True
268,1,1,female,35.0,135.6333,S,C,Southampton,yes,True
269,0,1,male,54.0,77.2875,S,D,Southampton,no,False
270,0,1,male,28.0,26.55,S,C,Southampton,no,True
271,0,1,male,21.0,77.2875,S,D,Southampton,no,False
272,1,1,female,28.0,55.0,S,E,Southampton,yes,False
273,0,1,male,28.0,26.55,S,C,Southampton,no,True
274,0,1,male,28.0,27.7208,C,C,Cherbourg,no,True
275,1,1,female,35.0,90.0,S,C,Southampton,yes,False
276,1,1,male,31.0,57.0,S,B,Southampton,yes,False
277,1,1,male,28.0,30.0,S,D,Southampton,yes,True
278,1,1,male,35.0,26.2875,S,E,Southampton,yes,True
279,1,1,female,36.0,120.0,S,B,Southampton,yes,False
280,1,1,female,31.0,164.8667,S,C,Southampton,yes,False
281,1,1,female,21.0,77.9583,S,D,Southampton,yes,True
282,1,1,male,37.0,52.5542,S,D,Southampton,yes,False
283,1,1,female,28.0,146.5208,C,B,Cherbourg,yes,True
284,1,1,male,48.0,52.0,S,C,Southampton,yes,False
285,1,1,female,35.0,135.6333,S,C,Southampton,yes,True
286,1,1,female,30.0,93.5,S,B,Southampton,yes,True
287,0,1,male,28.0,30.6958,C,C,Cherbourg,no,True
288,1,1,female,43.0,211.3375,S,B,Southampton,yes,False
289,0,1,male,28.0,263.0,S,C,Southampton,no,False
290,1,1,female,35.0,83.475,S,C,Southampton,yes,False
291,1,1,female,43.0,211.3375,S,B,Southampton,yes,False
292,1,1,female,39.0,110.8833,C,C,Cherbourg,yes,False
293,1,1,male,28.0,26.55,S,C,Southampton,yes,True
294,1,1,female,28.0,51.8625,S,D,Southampton,yes,False
295,1,1,female,38.0,71.2833,C,C,Cherbourg,yes,False
296,1,1,female,43.0,211.3375,S,B,Southampton,yes,False
297,1,1,female,22.0,55.0,S,E,Southampton,yes,False
298,1,1,female,28.0,51.8625,S,D,Southampton,yes,False
